baseline_method,nse_score,category
temporal_persistence_t10,-1.7497625961836096,Temporal
temporal_linear_trend,-461.3025594679525,Temporal
location_mean_per_node,-1.4818910704893538e+27,Location-Aware
location_random_per_node,-2.009028659416848e+27,Location-Aware
naive_mean_per_event,-5.818407853385596e+27,Naive
hierarchical_mean_per_model,-5.849364289586688e+27,Hierarchical
location_mean_per_node_type,-1.5015972661320634e+28,Location-Aware
location_random_per_node_type,-1.97113879330843e+28,Location-Aware
naive_random_per_event,-2.0800625255143754e+28,Naive
hierarchical_global_mean,-1.6035784342614952e+30,Hierarchical
naive_all_zeros,-2.6379243809149495e+30,Naive
