sample_idx,node_type,target_normalized,target_original,timestep_0_feat_0,timestep_0_feat_1,timestep_0_feat_2,timestep_0_feat_3,timestep_0_feat_4,timestep_0_feat_5,timestep_0_feat_6,timestep_0_feat_7,timestep_0_feat_8,timestep_0_feat_9,timestep_0_feat_10,timestep_0_feat_11,timestep_0_feat_12,timestep_0_feat_13,timestep_1_feat_0,timestep_1_feat_1,timestep_1_feat_2,timestep_1_feat_3,timestep_1_feat_4,timestep_1_feat_5,timestep_1_feat_6,timestep_1_feat_7,timestep_1_feat_8,timestep_1_feat_9,timestep_1_feat_10,timestep_1_feat_11,timestep_1_feat_12,timestep_1_feat_13,timestep_2_feat_0,timestep_2_feat_1,timestep_2_feat_2,timestep_2_feat_3,timestep_2_feat_4,timestep_2_feat_5,timestep_2_feat_6,timestep_2_feat_7,timestep_2_feat_8,timestep_2_feat_9,timestep_2_feat_10,timestep_2_feat_11,timestep_2_feat_12,timestep_2_feat_13,timestep_3_feat_0,timestep_3_feat_1,timestep_3_feat_2,timestep_3_feat_3,timestep_3_feat_4,timestep_3_feat_5,timestep_3_feat_6,timestep_3_feat_7,timestep_3_feat_8,timestep_3_feat_9,timestep_3_feat_10,timestep_3_feat_11,timestep_3_feat_12,timestep_3_feat_13,timestep_4_feat_0,timestep_4_feat_1,timestep_4_feat_2,timestep_4_feat_3,timestep_4_feat_4,timestep_4_feat_5,timestep_4_feat_6,timestep_4_feat_7,timestep_4_feat_8,timestep_4_feat_9,timestep_4_feat_10,timestep_4_feat_11,timestep_4_feat_12,timestep_4_feat_13,feat_0_mean,feat_0_std,feat_0_min,feat_0_max,feat_0_last,feat_1_mean,feat_1_std,feat_1_min,feat_1_max,feat_1_last,feat_2_mean,feat_2_std,feat_2_min,feat_2_max,feat_2_last,feat_3_mean,feat_3_std,feat_3_min,feat_3_max,feat_3_last,feat_4_mean,feat_4_std,feat_4_min,feat_4_max,feat_4_last,feat_5_mean,feat_5_std,feat_5_min,feat_5_max,feat_5_last,feat_6_mean,feat_6_std,feat_6_min,feat_6_max,feat_6_last,feat_7_mean,feat_7_std,feat_7_min,feat_7_max,feat_7_last,feat_8_mean,feat_8_std,feat_8_min,feat_8_max,feat_8_last,feat_9_mean,feat_9_std,feat_9_min,feat_9_max,feat_9_last,feat_10_mean,feat_10_std,feat_10_min,feat_10_max,feat_10_last,feat_11_mean,feat_11_std,feat_11_min,feat_11_max,feat_11_last,feat_12_mean,feat_12_std,feat_12_min,feat_12_max,feat_12_last,feat_13_mean,feat_13_std,feat_13_min,feat_13_max,feat_13_last
0,0,-0.7864564657211304,294.9756164550781,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,-0.7931012511253357,294.86383056640625,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.8029277920722961,294.6985168457031,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,-0.808418869972229,294.60614013671875,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,-0.8107462525367737,294.5669860839844,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,-0.8108170032501221,294.5657958984375,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,-0.8099861741065979,294.57977294921875,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,-0.8032779097557068,294.692626953125,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,-0.7900500297546387,294.9151611328125,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,-0.7852011322975159,294.9967346191406,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,1.3230689764022827,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37079861760139465,0.0,0.37079861760139465,0.37079861760139465,0.37079861760139465,1.3230689764022827,0.0,1.3230689764022827,1.3230689764022827,1.3230689764022827,-0.35571423172950745,0.0,-0.35571423172950745,-0.35571423172950745,-0.35571423172950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
